ourid,release_date,grossboxoffice,classgrossboxoffice,specialeffects,starvalue_director,starvalue_producer,startvalue_stars,origscreenoplayes,action,adventure,animation,biography,comedy,crime,documentary,drama,family,fantasy,history,horror,music,musical,mystery,romance,scifi,sport,thriller,war,western,othergenre,competition,mpaa_rating,maxscreens,user_rating,opening___screens,estmated_budget,opening_weekend,number_of_weeks,movie_length,
10365,39542,17427926,5,4,2,3,2,No,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,L,R,2814,6,2812,8000000,8003241,11,90,
10449,39899,16174377,5,2,2,2,3,Yes,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,L,R,642,7,4,8000000,219190,17,91,
10485,39807,19781879,5,4,2,2,3,No,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,M,PG-13,2509,4.9,2509,0,6463278,4,103,
10559,39213,18882880,5,2,3,2,3,Yes,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,M,R,2531,5.8,0,20000000,0,6,113,
10580,39976,16088610,5,4,2,4,3,Yes,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,H,PG,3011,5.4,0,55000000,0,9,107,
10598,39164,21460590,5,4,2,2,2,No,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,L,PG,3017,6.4,0,0,0,8,90,
10635,39675,23213577,5,2,3,3,3,Yes,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,L,PG-13,726,7.3,692,15500000,3755575,26,96,
10639,40382,26161406,5,3,2,3,2,No,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,M,G,2719,6.5,2719,0,7810481,15,103,
10727,39227,19067631,5,1,2,2,2,Yes,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,M,PG-13,707,7.2,4,2000000,92034,23,108,
10751,38807,21160089,5,2,2,2,2,No,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,L,PG-13,1602,5.1,0,0,11554404,7,105,
10762,40410,25003155,5,5,3,3,3,Yes,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,L,R,2491,6,2470,24000000,10106872,14,88,
10776,39178,25031037,5,4,3,3,3,No,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,L,R,2629,7.9,0,53000000,0,9,191,
10799,39185,23705592,5,3,2,2,3,No,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,L,R,2661,5.5,0,0,11500000,5,109,
10829,39136,27213386,5,3,3,2,2,Yes,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,L,PG,1162,7.5,791,0,4054542,12,117,
10870,39101,26522838,5,3,2,2,3,No,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,L,PG-13,287,7.5,0,19400000,71814,15,125,
10900,38800,23086480,5,3,2,3,2,Yes,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,L,PG-13,2009,4.6,2009,9000000,10726406,14,85,
10944,40142,20999103,5,4,3,2,3,No,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,H,PG,2034,7.9,0,40000000,265900,18,87,
10972,38821,24792061,5,2,3,2,3,No,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,L,R,1020,7.8,5,6500000,262923,26,92,
10982,39535,25871834,5,4,3,2,2,Yes,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,L,PG-13,2965,4.4,2960,35000000,9510297,17,75,
11018,38877,20342852,5,2,3,3,3,No,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,H,PG-13,767,6.9,0,10000000,4566293,18,105,
11025,38646,28031250,5,4,2,4,3,No,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,L,R,3043,5.1,3043,60000000,15488870,6,100,
11043,38737,23089926,5,2,2,2,3,Yes,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,L,R,512,7.8,0,15000000,0,12,124,
11111,38618,17378977,5,2,3,2,2,Yes,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,L,PG-13,1661,5.4,1625,0,7570366,15,112,
11117,38688,25857987,5,4,2,2,3,Yes,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,M,PG-13,852,5.4,0,62000000,12661112,10,93,
11164,38646,18324242,5,3,2,2,3,No,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,L,R,2555,7.2,2555,35000000,6422455,11,126,
11166,38555,19390029,5,3,3,3,2,Yes,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,M,R,1757,6.9,1757,7000000,7067335,5,107,
11196,38303,24741977,5,4,2,2,2,Yes,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,H,R,2062,5.1,2059,12000000,8774520,6,87,
11220,38653,19039770,5,3,4,3,3,Yes,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,L,R,1510,6.9,1510,22000000,4248465,8,102,
11326,38639,26838389,5,3,3,3,3,Yes,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,L,PG-13,2517,6.4,2517,57000000,10618711,10,123,
11334,38576,22264487,5,3,2,2,3,No,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,L,R,3127,4.3,3127,22000000,9626287,8,83,
11345,38198,18225165,5,3,2,2,3,Yes,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,M,R,2163,7.2,2135,9000000,5480378,7,88,
11392,38583,19447478,5,4,2,2,2,No,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,L,G,2016,5.6,0,35000000,0,12,76,
11419,38037,17718223,5,3,2,2,2,Yes,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,L,R,2544,6.5,2512,25000000,6711384,6,93,
11480,37951,27011180,5,3,3,2,3,No,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,H,R,2756,6.4,2756,60000000,10833633,11,137,
11492,38079,28165882,5,3,2,2,2,No,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,L,PG,2711,5.6,2682,0,9406378,12,111,
11498,38009,20866170,5,2,3,2,3,Yes,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,L,PG-13,2808,5.7,0,24000000,0,6,95,
11522,38471,25607347,5,4,3,3,3,Yes,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,L,PG-13,3480,4.1,3480,87000000,12712272,4,101,
11557,37869,22734486,5,3,2,2,2,Yes,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,L,PG-13,2083,5.5,2026,17000000,6660540,12,98,
11601,37981,16248701,5,2,3,3,3,Yes,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,M,R,411,7.9,8,20000000,274454,17,124,
11604,38044,25195050,5,3,3,2,3,Yes,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,L,R,2704,4.9,2703,50000000,8904299,12,97,
11607,37764,20440627,5,3,2,2,3,Yes,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,M,PG-13,2652,5.6,2652,0,9222334,10,98,
11630,37750,17508936,5,3,2,2,1,Yes,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,M,PG-13,770,7.2,133,0,2112140,15,91,
11634,37757,20298207,5,1,2,2,3,Yes,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,M,PG-13,2123,6.3,1,0,45029,12,101,
11678,38072,25266129,5,2,2,2,2,Yes,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,L,PG-13,1821,6.2,1520,35000000,8319171,11,102,
11695,38485,23658061,5,4,2,2,2,No,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,M,R,1073,6.2,0,27000000,0,11,106,
11716,37540,25296447,5,4,3,3,3,Yes,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,L,PG-13,2610,6.6,2573,21000000,9107816,15,92,
11732,37673,19593740,5,2,1,1,3,Yes,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,L,R,2003,7.3,2002,50000000,7117225,6,130,
11767,37505,28563926,5,2,2,2,2,Yes,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,L,PG-13,2860,4.7,2856,8500000,11326601,13,85,
